feature,importance
mean_rise_fall_ratio,0.2068855316711909
weighted_variance,0.10734726815401008
lag1_autocorr,0.09438241294934017
max_amp,0.0729333550753672
hurst_exp,0.06980087472209813
iqr,0.06668547026187016
weighted_mean,0.056100152425161746
flux_percentile_ratio,0.04757912389699633
mad,0.03851159513781547
median,0.029144120305944276
