feature,importance
weighted_variance,0.1640302704341652
weighted_mean,0.08692690038952636
beyond_1_sigma,0.07844005048746722
max_amp,0.05266441103518736
mad,0.04229472115000676
iqr,0.040400489766276686
flux_percentile_ratio,0.03356506689920079
median,0.022082793682689974
