feature,importance
weighted_variance,0.471607089898394
weighted_mean,0.22516220645834387
median,0.08008154577428926
beyond_1_sigma,0.07425529860134329
max_amp,0.06400008899644441
flux_percentile_ratio,0.06092461537075232
iqr,0.04607902161713724
mad,0.042244580845350634
