File Name	Loss
Sample_16046	181.193756
Sample_3433	168.662384
Sample_3546	152.333771
Sample_7186	142.931717
Sample_2406	142.599197
Sample_8343	140.028305
Sample_12086	131.111832
Sample_13404	129.352570
Sample_8373	94.565491
Sample_5850	93.799484
Sample_19825	92.562943
Sample_7758	89.230339
Sample_13091	79.237694
Sample_105	74.692955
Sample_12600	67.713402
Sample_6822	64.122116
Sample_10776	63.954651
Sample_17106	59.984409
Sample_18560	57.980507
Sample_2478	56.914482
Sample_13792	54.579163
Sample_14212	53.642498
Sample_5052	48.731018
Sample_4198	47.270039
Sample_108	45.592896
Sample_9406	43.832455
Sample_4900	41.395294
Sample_1408	41.257164
Sample_5883	41.252068
Sample_11836	36.549999
Sample_11970	35.134945
Sample_19468	34.258785
Sample_5908	32.009155
Sample_11106	29.929337
Sample_774	29.035139
Sample_13420	28.631369
Sample_8420	28.201727
Sample_3297	28.164688
Sample_11799	25.621250
Sample_14168	24.845554
Sample_16946	24.388199
Sample_7046	24.340418
Sample_18728	24.171507
Sample_18922	23.069305
Sample_15671	21.086489
Sample_16422	20.949524
Sample_100	18.787361
Sample_5654	18.634958
Sample_17671	18.445673
Sample_16628	18.384768
Sample_2448	18.238359
Sample_4599	18.173376
Sample_15990	17.702553
Sample_5329	17.591553
Sample_7804	17.238199
Sample_1164	16.552399
Sample_9076	16.247587
Sample_5979	16.189167
Sample_9863	16.143875
Sample_3524	16.084671
Sample_2003	15.975234
Sample_8619	15.856894
Sample_13783	15.851969
Sample_14329	15.736428
Sample_9015	15.446642
Sample_9910	15.374123
Sample_9433	14.677957
Sample_17912	14.461635
Sample_6117	14.312858
Sample_17715	14.144382
Sample_17349	13.992081
Sample_17262	13.926740
Sample_5982	13.784676
Sample_8848	13.507863
Sample_12358	13.415073
Sample_12229	13.263805
Sample_9115	13.109302
Sample_14556	12.909474
Sample_14043	12.837610
Sample_2685	12.752088
Sample_7171	12.543775
Sample_3704	12.540195
Sample_17344	12.258486
Sample_4285	12.248591
Sample_5366	12.227190
Sample_19579	12.179630
Sample_18611	12.160807
Sample_12457	12.117944
Sample_14724	11.989227
Sample_15051	11.918736
Sample_19633	11.918712
Sample_9689	11.786430
Sample_4019	11.768465
Sample_17369	11.767008
Sample_16781	11.726746
Sample_13473	11.709159
Sample_7351	11.603076
Sample_11308	11.591564
Sample_7748	11.522586
Sample_18345	11.459230
Sample_5375	11.383574
Sample_1513	11.365664
Sample_9274	11.327721
Sample_5937	11.291577
Sample_8885	11.267118
Sample_825	11.259244
Sample_11892	11.198832
Sample_681	11.188788
Sample_14524	11.176028
Sample_6670	11.162590
Sample_4802	11.124064
Sample_18649	11.072185
Sample_16959	11.050908
Sample_8918	10.995476
Sample_4055	10.935618
Sample_18236	10.921893
Sample_4817	10.920718
