feature,importance
weighted_variance,0.07940326542634414
beyond_1_sigma,0.07871415737192378
weighted_mean,0.057042771565634476
max_amp,0.05064111666650011
iqr,0.04654902807851574
mad,0.04378085521188565
flux_percentile_ratio,0.03763156913841988
median,0.028151150167158478
