File Name	Loss
Sample_14272	3.297098
Sample_10913	3.277033
Sample_8667	3.276908
Sample_9873	3.269076
Sample_13333	3.262614
Sample_4891	3.259710
Sample_1213	3.258128
Sample_7788	3.250901
Sample_7686	3.242737
Sample_10488	3.241851
Sample_10481	3.224947
Sample_195	3.221979
Sample_10742	3.219646
Sample_8782	3.208803
Sample_14593	3.167420
Sample_9021	3.164440
Sample_13046	3.163258
Sample_10285	3.145557
Sample_2731	3.134165
Sample_2414	3.128007
Sample_12646	3.122967
Sample_9627	3.082428
Sample_2990	3.067354
Sample_947	3.067226
Sample_452	3.061050
Sample_2242	3.058382
Sample_12997	3.034052
Sample_11894	3.026690
Sample_5499	3.022150
Sample_1784	3.017618
Sample_12940	3.016673
Sample_7181	3.011519
Sample_8578	3.003434
Sample_2005	2.993216
Sample_4633	2.988830
Sample_2646	2.978879
Sample_4286	2.970905
Sample_4995	2.970503
Sample_11371	2.964467
Sample_10029	2.963353
Sample_4890	2.963040
Sample_8759	2.945796
Sample_12489	2.943963
Sample_10981	2.939984
Sample_15190	2.935202
Sample_2661	2.932602
Sample_8774	2.906123
Sample_4688	2.903282
Sample_15620	2.867651
Sample_10309	2.867409
Sample_4001	2.862939
Sample_7631	2.861794
Sample_1990	2.860120
Sample_10644	2.854242
Sample_13365	2.843897
Sample_10415	2.834671
Sample_13970	2.834161
Sample_9532	2.829497
Sample_11174	2.813562
Sample_3052	2.813187
Sample_118	2.789647
Sample_13590	2.777620
Sample_9168	2.775774
Sample_7430	2.774774
Sample_12234	2.771284
Sample_174	2.769746
Sample_4450	2.741023
Sample_7507	2.728283
Sample_1004	2.719797
Sample_8433	2.716255
Sample_12784	2.712123
Sample_15125	2.704850
Sample_13155	2.690001
Sample_10750	2.688377
Sample_11860	2.684922
Sample_10638	2.671790
Sample_11430	2.669841
Sample_397	2.668879
Sample_11438	2.661960
Sample_8004	2.631223
Sample_269	2.623027
Sample_11330	2.603919
Sample_13810	2.592700
Sample_15644	2.590452
Sample_10118	2.590206
Sample_2282	2.587163
Sample_973	2.581847
Sample_1824	2.573992
Sample_5973	2.572137
Sample_15406	2.565059
Sample_15863	2.563174
Sample_10603	2.544257
Sample_13024	2.537091
Sample_15457	2.535297
Sample_2988	2.529205
Sample_12355	2.522927
Sample_2218	2.504756
Sample_8291	2.500924
Sample_7925	2.495493
Sample_2523	2.493229
Sample_14671	2.485733
Sample_11455	2.478768
Sample_3150	2.476064
Sample_10505	2.476022
Sample_2801	2.461818
Sample_4333	2.455655
Sample_2748	2.453635
Sample_11202	2.447922
Sample_15599	2.431044
Sample_3146	2.429005
Sample_13327	2.425262
Sample_5713	2.417395
Sample_6256	2.373051
Sample_3371	2.367227
Sample_1865	2.367173
Sample_8267	2.364716
Sample_15397	2.353564
Sample_7224	2.351796
Sample_11314	2.347416
Sample_4828	2.341545
Sample_1968	2.341252
Sample_15975	2.335466
Sample_3752	2.321522
Sample_13478	2.320017
Sample_9268	2.303854
Sample_3734	2.303674
Sample_12053	2.301072
Sample_2513	2.296363
Sample_912	2.287645
Sample_16228	2.284169
Sample_2618	2.283401
Sample_5159	2.273359
Sample_3624	2.272970
Sample_15260	2.270252
Sample_15425	2.268751
Sample_1086	2.263135
Sample_12519	2.260894
Sample_9314	2.258254
Sample_6700	2.252181
Sample_7287	2.247842
Sample_2248	2.241175
Sample_7247	2.229373
Sample_2160	2.226775
Sample_2945	2.226141
Sample_1969	2.220082
Sample_7561	2.217111
Sample_5841	2.212215
Sample_15822	2.184400
Sample_11674	2.182693
Sample_10554	2.177942
Sample_16107	2.176424
Sample_13932	2.164217
Sample_480	2.162634
Sample_6255	2.159928
Sample_13816	2.153222
Sample_5886	2.133927
Sample_8212	2.127491
Sample_10526	2.113977
Sample_8528	2.113860
Sample_2335	2.113714
Sample_7414	2.102775
Sample_2247	2.102751
Sample_1352	2.079885
Sample_14802	2.077142
Sample_6978	2.067248
Sample_13180	2.049819
Sample_4381	2.048921
Sample_8257	2.047655
Sample_15278	2.045374
Sample_7756	2.043412
Sample_10429	2.041901
Sample_6215	2.041624
Sample_12719	2.037834
Sample_5076	2.033298
Sample_142	2.032731
Sample_5003	2.026258
Sample_5213	2.016948
Sample_1626	2.010858
Sample_10395	2.009706
Sample_15687	2.000799
Sample_7932	1.996611
Sample_8879	1.996194
Sample_8530	1.989483
Sample_7690	1.985054
Sample_13379	1.983352
Sample_7099	1.979344
Sample_12916	1.974166
Sample_2148	1.964993
Sample_10358	1.951093
Sample_12268	1.949965
Sample_15798	1.942469
Sample_1249	1.940411
Sample_15005	1.933758
Sample_3268	1.932453
Sample_5894	1.927959
Sample_8544	1.927491
Sample_4639	1.926003
Sample_4749	1.921763
Sample_2601	1.907897
Sample_3825	1.907418
Sample_10798	1.905754
Sample_9871	1.901881
Sample_6871	1.893929
Sample_13468	1.889593
Sample_9673	1.879810
Sample_293	1.878818
Sample_16247	1.877629
Sample_13038	1.872279
Sample_14392	1.869841
Sample_14406	1.863353
Sample_13049	1.859030
Sample_10688	1.854049
Sample_14908	1.846448
Sample_6542	1.832792
Sample_15543	1.828327
Sample_12765	1.826776
Sample_13924	1.819610
Sample_13057	1.818799
Sample_4573	1.816017
Sample_3139	1.814802
Sample_838	1.812373
Sample_14234	1.803497
Sample_3803	1.796646
Sample_14756	1.791131
Sample_10086	1.788379
Sample_16338	1.786163
Sample_5080	1.782095
Sample_15676	1.780066
Sample_15069	1.767350
Sample_10197	1.763725
Sample_2533	1.760807
Sample_11976	1.745438
Sample_8492	1.742441
Sample_5545	1.727963
Sample_16164	1.725981
Sample_8625	1.701946
Sample_16010	1.697969
Sample_15596	1.688264
Sample_14740	1.687780
Sample_5638	1.684005
Sample_13488	1.681587
